epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,466.366,0.62195,3.43835,0.25069,0.50326,1.15974,0.99147,0.99967,0.995,0.92928,0.66726,0.66751,0.5854,0.29388,0.43027,3.38818,0.05547,0.30389,1.10562,0.00108913,0.00108913,0.00108913
28,482.358,0.6204,3.52603,0.25114,0.52314,1.16192,0.97584,1,0.995,0.93571,0.70315,0.71384,0.66989,0.28981,0.36702,3.42496,0.0345,0.2648,1.05298,0.00108294,0.00108294,0.00108294
29,498.388,0.60716,3.37132,0.24728,0.5066,1.15352,0.99133,0.9875,0.9944,0.91417,0.70725,0.70578,0.66754,0.31809,0.46823,3.40894,0.05638,0.35925,1.16091,0.00107675,0.00107675,0.00107675
30,514.479,0.61748,3.3914,0.25137,0.51101,1.15719,0.98662,0.9875,0.99056,0.89513,0.70996,0.71304,0.64345,0.3029,0.47617,3.29067,0.0285,0.32138,1.17436,0.00107056,0.00107056,0.00107056
31,530.796,0.59414,3.33674,0.24396,0.48894,1.13874,0.99431,0.9875,0.99292,0.92375,0.73604,0.73078,0.69377,0.31735,0.37821,3.42201,0.0355,0.29536,1.08227,0.00106437,0.00106437,0.00106437
32,547.012,0.5985,3.29291,0.24512,0.49127,1.15972,0.99237,0.98881,0.995,0.93426,0.75564,0.75134,0.6737,0.3119,0.38108,3.34594,0.0263,0.26982,1.0892,0.00105819,0.00105819,0.00105819
33,563.077,0.59376,3.30163,0.2379,0.48265,1.14569,0.98773,0.98794,0.995,0.92873,0.75625,0.75578,0.71078,0.31198,0.42773,3.32912,0.02467,0.30305,1.14321,0.001052,0.001052,0.001052
34,579.377,0.59783,3.19286,0.23549,0.48537,1.14085,0.9941,0.98923,0.995,0.92852,0.70452,0.70134,0.6278,0.29907,0.45068,3.4138,0.02858,0.30827,1.12754,0.00104581,0.00104581,0.00104581
35,595.558,0.58592,3.28508,0.24157,0.45788,1.13693,0.99133,1,0.995,0.928,0.63553,0.63602,0.56555,0.32419,0.3982,3.31701,0.04586,0.26504,1.09001,0.00103962,0.00103962,0.00103962
36,611.724,0.56741,3.21417,0.23385,0.46037,1.12552,0.99502,0.98959,0.995,0.94661,0.69451,0.69247,0.63213,0.31977,0.38244,3.2763,0.03197,0.25338,1.06525,0.00103344,0.00103344,0.00103344
37,627.83,0.57183,3.24197,0.23844,0.46268,1.131,0.98546,0.986,0.995,0.93921,0.65932,0.65099,0.62474,0.32894,0.37899,3.38031,0.02035,0.2846,1.08138,0.00102725,0.00102725,0.00102725
38,644.185,0.57596,3.2419,0.23885,0.46662,1.13598,0.99342,0.98824,0.995,0.93021,0.74306,0.73884,0.67667,0.32586,0.37571,3.25722,0.02123,0.26543,1.07202,0.00102106,0.00102106,0.00102106
39,660.448,0.56087,3.20063,0.23567,0.46362,1.12811,0.98936,1,0.995,0.93767,0.6823,0.68965,0.64927,0.31975,0.36321,3.44703,0.02586,0.2577,1.04861,0.00101488,0.00101488,0.00101488
40,676.579,0.56286,3.15406,0.22989,0.455,1.12139,0.99701,1,0.995,0.94929,0.69143,0.69328,0.59439,0.31272,0.3439,3.31468,0.02304,0.26198,1.03011,0.00100869,0.00100869,0.00100869
41,692.705,0.56426,3.14628,0.22846,0.45353,1.13165,0.99502,1,0.995,0.94386,0.74442,0.74691,0.70106,0.3277,0.3557,3.23606,0.0125,0.26213,1.04081,0.0010025,0.0010025,0.0010025
42,708.932,0.5684,3.07956,0.23183,0.44964,1.13633,0.99369,1,0.995,0.95473,0.72848,0.73078,0.66568,0.32817,0.36515,3.25979,0.01707,0.26605,1.05934,0.000996313,0.000996313,0.000996313
43,725.229,0.56642,3.14955,0.2319,0.45016,1.12336,0.99569,1,0.995,0.94559,0.76082,0.76384,0.70199,0.33632,0.33762,3.18125,0.0221,0.26337,1.03919,0.000990125,0.000990125,0.000990125
44,741.334,0.55402,3.15196,0.22543,0.44788,1.11713,0.9932,0.98829,0.995,0.94148,0.73522,0.73078,0.7021,0.3626,0.34898,3.23322,0.01961,0.2495,1.04661,0.000983938,0.000983938,0.000983938
45,757.57,0.55317,3.12105,0.23099,0.44712,1.12042,0.99374,1,0.995,0.93341,0.70102,0.71256,0.63515,0.31737,0.36761,3.23225,0.03278,0.25779,1.04807,0.00097775,0.00097775,0.00097775
46,773.903,0.55288,3.10551,0.22739,0.44765,1.12332,0.99193,1,0.995,0.94118,0.73989,0.74328,0.68164,0.32344,0.38723,3.25248,0.04485,0.31244,1.07134,0.000971562,0.000971562,0.000971562
