epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1915.24,0.44533,2.48679,0.19655,0.34485,1.05065,0.99477,0.9875,0.9944,0.96518,0.9214,0.91358,0.89173,0.47217,0.27364,2.69509,0.01619,0.19611,0.96,0.00053225,0.00053225,0.00053225
118,1931.48,0.44268,2.44795,0.20106,0.33988,1.05096,0.99603,1,0.995,0.96975,0.90998,0.91358,0.89827,0.48802,0.25373,2.73174,0.01514,0.18817,0.94661,0.000526063,0.000526063,0.000526063
119,1947.8,0.45355,2.55232,0.19541,0.35042,1.05857,0.99209,0.98847,0.995,0.95903,0.90578,0.90108,0.8854,0.47575,0.24258,2.73882,0.01381,0.19154,0.94249,0.000519875,0.000519875,0.000519875
120,1963.93,0.43977,2.46432,0.19557,0.33493,1.04678,0.99409,0.9875,0.99292,0.96392,0.887,0.88024,0.85494,0.44694,0.28834,2.79624,0.01189,0.21095,0.97517,0.000513688,0.000513688,0.000513688
121,1980.32,0.43455,2.40259,0.19863,0.33359,1.04512,0.99382,1,0.995,0.96894,0.88936,0.88495,0.87702,0.49598,0.2553,2.69784,0.01383,0.20152,0.95266,0.0005075,0.0005075,0.0005075
122,1996.6,0.43931,2.44083,0.19416,0.33815,1.05195,0.99578,0.98876,0.995,0.96292,0.90025,0.89301,0.87769,0.48155,0.27607,2.72135,0.01656,0.20054,0.96607,0.000501313,0.000501313,0.000501313
123,2012.91,0.43766,2.43532,0.19526,0.33657,1.05459,0.99647,0.98939,0.995,0.9712,0.90812,0.90108,0.88416,0.49046,0.27246,2.70813,0.013,0.20602,0.95751,0.000495125,0.000495125,0.000495125
124,2028.95,0.42972,2.37121,0.19416,0.3266,1.03807,0.99476,0.98847,0.995,0.96366,0.88737,0.88024,0.82792,0.45374,0.29205,2.71296,0.01517,0.21401,0.97167,0.000488938,0.000488938,0.000488938
125,2045.11,0.43101,2.39751,0.19677,0.33101,1.04125,0.9945,1,0.995,0.96661,0.92119,0.92608,0.9088,0.49346,0.26473,2.68694,0.0141,0.19902,0.95514,0.00048275,0.00048275,0.00048275
126,2061.25,0.42929,2.40363,0.19525,0.33253,1.03945,0.99091,0.99858,0.995,0.96425,0.93339,0.92634,0.89824,0.48888,0.27203,2.61458,0.01405,0.18948,0.95591,0.000476562,0.000476562,0.000476562
127,2077.46,0.43814,2.33109,0.19857,0.3371,1.0615,0.99462,0.99089,0.995,0.97,0.91332,0.90551,0.88776,0.49101,0.25042,2.63566,0.01565,0.1781,0.94427,0.000470375,0.000470375,0.000470375
128,2093.36,0.43316,2.3644,0.19394,0.33456,1.0433,0.9946,0.9875,0.9944,0.97029,0.92124,0.91358,0.89551,0.49768,0.28037,2.66323,0.01343,0.21239,0.95829,0.000464188,0.000464188,0.000464188
129,2109.64,0.42666,2.37063,0.19411,0.32651,1.04201,0.98892,0.99857,0.995,0.96597,0.90716,0.90108,0.88855,0.50568,0.28574,2.66842,0.01378,0.20795,0.96747,0.000458,0.000458,0.000458
130,2125.82,0.43715,2.36179,0.19539,0.33437,1.0447,0.98953,0.99865,0.995,0.97001,0.92787,0.92191,0.90749,0.52841,0.28268,2.59952,0.01088,0.20838,0.96143,0.000451813,0.000451813,0.000451813
131,2141.93,0.4343,2.33148,0.19512,0.33053,1.04683,0.99517,1,0.995,0.97455,0.92987,0.93441,0.91161,0.51145,0.27789,2.57418,0.01341,0.2023,0.96566,0.000445625,0.000445625,0.000445625
132,2157.84,0.42882,2.34101,0.19681,0.33144,1.04067,0.99619,0.98821,0.995,0.97379,0.93499,0.92634,0.91496,0.51866,0.26682,2.59408,0.01614,0.1958,0.95897,0.000439437,0.000439437,0.000439437
133,2173.72,0.42214,2.35174,0.19249,0.32585,1.03669,0.99036,0.99861,0.995,0.97075,0.92915,0.92191,0.91267,0.54559,0.26358,2.5489,0.01299,0.1934,0.94962,0.00043325,0.00043325,0.00043325
134,2189.8,0.43028,2.36901,0.18988,0.32258,1.04784,0.99444,0.98852,0.995,0.96768,0.95024,0.94247,0.93564,0.52797,0.26828,2.57057,0.0132,0.19736,0.96043,0.000427062,0.000427062,0.000427062
135,2205.85,0.42849,2.3484,0.19254,0.32407,1.04931,0.99483,0.98967,0.995,0.97295,0.92757,0.92191,0.90215,0.52749,0.26624,2.58188,0.01264,0.18997,0.9524,0.000420875,0.000420875,0.000420875
136,2221.97,0.42475,2.28713,0.19318,0.32879,1.04332,0.99326,0.98889,0.995,0.97085,0.92088,0.91358,0.88203,0.50238,0.26523,2.59414,0.0118,0.1914,0.95042,0.000414688,0.000414688,0.000414688
137,2237.86,0.41987,2.29884,0.18948,0.33188,1.03608,0.99062,0.99844,0.995,0.96249,0.94089,0.93441,0.92882,0.52431,0.27789,2.54358,0.01151,0.18728,0.95914,0.0004085,0.0004085,0.0004085
138,2253.93,0.4277,2.29001,0.19182,0.33071,1.04013,0.99531,0.98951,0.995,0.96077,0.94121,0.93441,0.92411,0.54124,0.27617,2.47542,0.01519,0.17883,0.96003,0.000402312,0.000402312,0.000402312
139,2269.91,0.4086,2.32284,0.1936,0.32206,1.0288,0.99402,0.98851,0.995,0.97596,0.94138,0.93441,0.93388,0.53831,0.25983,2.51359,0.01148,0.17686,0.94761,0.000396125,0.000396125,0.000396125
140,2285.89,0.42906,2.26798,0.19085,0.32604,1.04543,0.99624,0.9885,0.995,0.98234,0.90908,0.90108,0.89406,0.50035,0.26352,2.64778,0.01329,0.19065,0.95301,0.000389938,0.000389938,0.000389938
141,2301.94,0.42062,2.27437,0.1919,0.31487,1.03811,0.99602,1,0.995,0.9717,0.89751,0.90108,0.87974,0.50187,0.25636,2.6239,0.01295,0.18074,0.94904,0.00038375,0.00038375,0.00038375
142,2318.07,0.40836,2.28296,0.19063,0.31641,1.03155,0.99335,1,0.995,0.96629,0.94046,0.93441,0.91991,0.51013,0.27501,2.50947,0.01203,0.18744,0.95783,0.000377563,0.000377563,0.000377563
143,2334.19,0.41321,2.1898,0.18802,0.31318,1.0305,0.99165,0.99941,0.995,0.96912,0.93824,0.93441,0.92158,0.52529,0.27164,2.50412,0.01368,0.18239,0.957,0.000371375,0.000371375,0.000371375
144,2350.2,0.40913,2.27262,0.19948,0.32125,1.03295,0.99388,0.98845,0.995,0.96891,0.94118,0.93441,0.92303,0.5338,0.27355,2.52347,0.01399,0.19448,0.96205,0.000365188,0.000365188,0.000365188
145,2366.16,0.41106,2.22606,0.18748,0.31995,1.03243,0.99573,0.98914,0.995,0.96392,0.92839,0.92191,0.91258,0.51814,0.27358,2.58117,0.01424,0.19707,0.96248,0.000359,0.000359,0.000359
146,2382.51,0.40541,2.19299,0.19499,0.31271,1.0272,0.99339,0.9875,0.9944,0.96474,0.91994,0.91358,0.88961,0.50363,0.27573,2.55601,0.01426,0.1912,0.96344,0.000352812,0.000352812,0.000352812
147,2398.63,0.41276,2.19145,0.19097,0.3179,1.03167,0.994,0.9875,0.9944,0.97352,0.92815,0.92191,0.89875,0.52656,0.27955,2.55039,0.0114,0.20391,0.9595,0.000346625,0.000346625,0.000346625
148,2414.73,0.41123,2.15138,0.19273,0.31226,1.03141,0.99611,1,0.995,0.97185,0.93078,0.93441,0.91847,0.51618,0.27243,2.52865,0.01311,0.19868,0.96302,0.000340438,0.000340438,0.000340438
149,2430.77,0.41141,2.17675,0.19106,0.31485,1.03583,0.99527,1,0.995,0.97116,0.90709,0.90941,0.89413,0.51141,0.27215,2.55784,0.01294,0.19353,0.96319,0.00033425,0.00033425,0.00033425
150,2446.8,0.3968,2.19345,0.18891,0.3047,1.02094,0.9932,1,0.995,0.97107,0.93145,0.91937,0.91661,0.54123,0.2498,2.52624,0.01418,0.1955,0.94952,0.000328063,0.000328063,0.000328063
151,2462.86,0.40734,2.19089,0.18756,0.31372,1.03311,0.99606,1,0.995,0.97707,0.91796,0.92191,0.90365,0.5387,0.25239,2.52225,0.0128,0.17573,0.94295,0.000321875,0.000321875,0.000321875
152,2479.01,0.40487,2.16459,0.1947,0.3117,1.02977,0.99707,0.99718,0.995,0.97096,0.90621,0.9029,0.89738,0.51086,0.2651,2.5805,0.01182,0.18781,0.95028,0.000315687,0.000315687,0.000315687
153,2495.13,0.40548,2.1786,0.18812,0.30993,1.02757,0.99592,0.99916,0.995,0.97276,0.89719,0.90108,0.89357,0.5089,0.25836,2.57428,0.01241,0.17761,0.94644,0.0003095,0.0003095,0.0003095
